,起飛時間(出發),起飛地點(出發),抵達時間(出發),抵達地點(出發),起飛時間(回程),起飛地點(回程),抵達時間(回程),抵達地點(回程),航空公司,購買網站,一人價格(TWD),兩人總價(TWD),買票去！
1,21:55,TPE,01:30,ICN,02:30,ICN,04:05,TPE,台灣虎航,ezfly 易飛網,5468,10936,https://travel.line.me//flights/2b8164c503cee7c8a700b461bdac4874?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1693785600000&arrivalAirports=&arrivalCities=SEL&departureAirports=&departureCities=SEL&departureDates=1694217600000&arrivalAirports=&arrivalCities=TPE
2,21:55,TPE,01:30,ICN,07:50,ICN,09:25,TPE,台灣虎航、真航空,BudgetAir,6953,13906,https://travel.line.me//flights/38f866ac44ca06e4a6359e2510fe6837?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1693785600000&arrivalAirports=&arrivalCities=SEL&departureAirports=&departureCities=SEL&departureDates=1694217600000&arrivalAirports=&arrivalCities=TPE
3,18:00,TPE,21:35,ICN,02:30,ICN,04:05,TPE,酷航、台灣虎航,ezfly 易飛網,7122,14244,https://travel.line.me//flights/7344208ac10b58293b640bc83e4592c4?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1693785600000&arrivalAirports=&arrivalCities=SEL&departureAirports=&departureCities=SEL&departureDates=1694217600000&arrivalAirports=&arrivalCities=TPE
4,13:50,TSA,17:25,GMP,07:50,ICN,09:25,TPE,德威航空、真航空,Trip.com,7345,14690,https://travel.line.me//flights/b7a53c5dd41a9f406ae0eb1c262ba099?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1693785600000&arrivalAirports=&arrivalCities=SEL&departureAirports=&departureCities=SEL&departureDates=1694217600000&arrivalAirports=&arrivalCities=TPE
5,13:50,TSA,17:25,GMP,02:30,ICN,04:05,TPE,德威航空、台灣虎航,Trip.com,7360,14720,https://travel.line.me//flights/dbb6a0471f094e3be1fb7038b54e2eaf?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1693785600000&arrivalAirports=&arrivalCities=SEL&departureAirports=&departureCities=SEL&departureDates=1694217600000&arrivalAirports=&arrivalCities=TPE
6,18:00,TPE,21:35,ICN,07:50,ICN,09:25,TPE,酷航、真航空,Trip.com,7586,15172,https://travel.line.me//flights/f0fdc2dece43ab20b6eb33c31a5022bf?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1693785600000&arrivalAirports=&arrivalCities=SEL&departureAirports=&departureCities=SEL&departureDates=1694217600000&arrivalAirports=&arrivalCities=TPE
7,21:55,TPE,01:30,ICN,09:05,ICN,10:50,TPE,台灣虎航、濟州航空,ezfly 易飛網,7725,15450,https://travel.line.me//flights/8ce65389635cb81ea0234fbeb56098cc?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1693785600000&arrivalAirports=&arrivalCities=SEL&departureAirports=&departureCities=SEL&departureDates=1694217600000&arrivalAirports=&arrivalCities=TPE
8,10:35,TPE,14:00,ICN,07:50,ICN,09:25,TPE,真航空,BudgetAir,8169,16338,https://travel.line.me//flights/94e1c136bfb235f00031d2e783951d1d?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1693785600000&arrivalAirports=&arrivalCities=SEL&departureAirports=&departureCities=SEL&departureDates=1694217600000&arrivalAirports=&arrivalCities=TPE
9,13:50,TSA,17:25,GMP,09:05,ICN,10:50,TPE,德威航空、濟州航空,BudgetAir,8235,16470,https://travel.line.me//flights/e9bfb27f4acb0526ea91a42daca812a2?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1693785600000&arrivalAirports=&arrivalCities=SEL&departureAirports=&departureCities=SEL&departureDates=1694217600000&arrivalAirports=&arrivalCities=TPE
10,21:55,TPE,01:30,ICN,12:55,ICN,17:40,TPE,台灣虎航、中國東方航空,BudgetAir,8275,16550,https://travel.line.me//flights/085dee8a76be306d42e21577ffe29f36?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1693785600000&arrivalAirports=&arrivalCities=SEL&departureAirports=&departureCities=SEL&departureDates=1694217600000&arrivalAirports=&arrivalCities=TPE
